[18:43:41] workdir=/tmp/judger1p-workdir.TFgU8s
[18:43:42] npx codex banner='codex-cli 0.144.1' global codex banner='codex-cli 0.142.5'
[18:43:42] === PREFLIGHT ===
[18:43:49]   preflight cal:g9lp-1 expected={'substitutable': 'yes', 'cross_translatable': 'yes'} got={'substitutable': 'yes', 'cross_translatable': 'yes'} status=valid pass=True
[18:43:53]   preflight cal:g9lp-2 expected={'substitutable': 'no', 'cross_translatable': 'no'} got={'substitutable': 'no', 'cross_translatable': 'no'} status=valid pass=True
[18:43:53] preflight PASS
[18:43:53] === REAL (50) ===
[18:44:06]   g9s:31 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:49:22]   g9s:45 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:49:35]   g9s:38 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:49:45]   g9s:10 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:49:53]   g9s:21 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:50:00]   g9s:46 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:50:07]   g9s:07 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:50:18]   g9s:12 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:50:36]   g9s:04 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:50:47]   g9s:49 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:51:03]   g9s:43 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:51:13]   g9s:40 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:51:28]   g9s:41 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:51:33]   g9s:15 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:51:40]   g9s:24 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:51:45]   g9s:23 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:51:50]   g9s:39 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:51:56]   g9s:14 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:52:04]   g9s:08 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:52:10]   g9s:06 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:52:10] === PROBE (50) ===
[18:52:14]   g9p:31 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:52:32]   g9p:45 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:52:37]   g9p:25 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:52:45]   g9p:40 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:52:50]   g9p:42 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:52:55]   g9p:27 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:00]   g9p:21 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:08]   g9p:41 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:13]   g9p:15 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'no'} attempts=1
[18:53:19]   g9p:37 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'no'} attempts=1
[18:53:24]   g9p:44 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:29]   g9p:46 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:35]   g9p:32 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:40]   g9p:17 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:45]   g9p:34 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:52]   g9p:39 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:53:57]   g9p:19 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:04]   g9p:50 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:11]   g9p:18 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:15]   g9p:03 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:21]   g9p:48 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:25]   g9p:49 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:30]   g9p:06 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:37]   g9p:20 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:43]   g9p:43 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:53]   g9p:01 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:54:59]   g9p:47 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:55:03]   g9p:38 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:55:09]   g9p:24 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:55:18]   g9p:14 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:55:25]   g9p:23 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'no'} attempts=1
[18:55:31]   g9p:36 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:55:36]   g9p:13 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:55:41]   g9p:22 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:55:47]   g9p:33 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:55:54]   g9p:09 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:00]   g9p:10 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:06]   g9p:08 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:14]   g9p:29 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:18]   g9p:12 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:23]   g9p:11 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:30]   g9p:04 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:34]   g9p:35 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:43]   g9p:07 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:51]   g9p:05 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:56:58]   g9p:26 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:57:05]   g9p:16 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:57:10]   g9p:28 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:57:16]   g9p:02 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:57:20]   g9p:30 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:57:20] === RETEST (10) ===
[18:57:27]   retest:g9s:01 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:57:36]   retest:g9s:05 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:57:46]   retest:g9s:24 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:57:54]   retest:g9s:42 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:58:01]   retest:g9s:33 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:58:12]   retest:g9s:34 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:58:18]   retest:g9s:37 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:58:27]   retest:g9s:29 -> labelled=True fields={'substitutable': 'yes', 'cross_translatable': 'yes'} attempts=1
[18:59:08]   retest:g9s:41 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:59:16]   retest:g9s:31 -> labelled=True fields={'substitutable': 'no', 'cross_translatable': 'yes'} attempts=1
[18:59:16] ALL ITEMS DONE. Assembling.
[18:59:16] run stage complete; run assemble separately
